Indulasi Ido(mp),Indulasi Emelet,Erkezesi Emelet
41,54,55
43,30,74
88,87,32
93,35,55
121,35,4
168,63,22
205,20,92
211,23,32
268,48,72
325,70,69
380,57,48
434,40,22
447,7,98
454,35,49
495,55,68
550,27,58
557,19,96
590,87,54
616,96,74
645,95,35
649,40,5
707,32,13
729,11,44
749,63,79
804,62,5
813,3,91
836,16,43
849,85,27
860,95,38
885,92,15
944,42,36
990,13,72
1012,51,67
1027,92,26
1049,25,52
1053,18,65
1086,17,38
1113,3,68
1124,10,84
1160,46,4
1200,71,65
1235,98,32
1286,13,22
1344,35,29
1400,64,1
1437,65,87
1466,11,13
1468,36,14
1492,5,55
1495,96,68
1507,78,22
1527,32,28
1545,88,22
1581,89,58
1627,1,67
1656,92,49
1694,85,26
1749,28,31
1755,69,95
1812,59,8
1823,65,62
1862,55,34
1890,74,72
1921,55,41
1952,36,84
1994,93,2
2003,86,82
2032,45,84
2073,98,52
2122,50,38
2131,54,73
2175,33,76
2214,30,40
2241,81,97
2250,48,95
2296,60,67
2344,26,93
2365,92,79
2375,36,60
2403,24,61
2422,87,56
2465,45,46
2498,30,93
2553,57,51
2576,38,63
2582,32,23
2626,93,89
2674,49,46
2721,43,91
2769,7,67
2816,81,60
2838,41,84
2865,94,94
2917,93,5
2941,39,54
2963,79,99
2994,27,21
3001,36,75
3014,97,32
3027,36,56
3032,18,86
3067,29,91
3068,82,43
3114,87,7
3125,74,75
3161,42,33
3207,19,44
3245,63,66
3271,91,29
3287,20,58
3342,53,38
3358,12,5
3375,93,20
3412,45,72
3434,33,21
3493,12,85
3551,56,5
3560,72,56
3605,44,90
3611,8,14
3646,63,62
3688,37,95
3707,88,21
3717,90,40
3721,17,1
3724,17,34
3733,89,44
3776,98,70
3835,25,33
3866,5,40
3888,9,34
3913,57,38
3973,78,68
4004,75,84
4045,91,3
4084,53,15
4097,44,92
4156,37,15
4197,36,38
4213,7,92
4264,89,52
4307,75,25
4311,64,62
4351,18,35
4362,74,13
4386,90,79
4394,24,83
4451,34,10
4496,41,79
4526,7,56
4566,20,52
4603,86,6
4618,59,35
4652,28,93
4659,62,78
4675,84,69
4689,71,61
4730,66,7
4732,9,98
4783,81,25
4785,57,31
4818,77,50
4863,49,42
4909,27,41
4948,27,89
4988,88,31
4993,11,16
5032,44,20
5075,89,92
5098,45,84
5124,28,42
5158,41,45
5168,78,88
5174,72,7
5175,82,32
5194,44,30
5238,12,48
5270,33,16
5314,88,55
5352,93,86
5406,57,87
5463,74,48
5504,15,74
5537,45,2
5568,85,9
5571,34,89
5576,4,57
5632,87,53
5645,52,19
5658,40,7
5683,26,9
5696,77,61
5746,3,10
5769,34,45
5804,83,49
5830,24,28
5872,24,84
5924,80,52
5952,9,37
5990,37,53
5994,84,65
6017,31,24
6055,2,51
6065,2,17
6118,23,86
6120,97,86
6166,57,70
6170,17,48
6216,50,9
6268,9,18
6319,43,95
6333,94,63
6388,35,15
6392,43,72
6439,5,85
6460,47,81
6489,66,91
6528,25,32
6545,99,18
6585,79,67
6600,83,68
6634,41,71
6684,51,79
6735,49,76
6770,23,52
6786,90,32
6796,40,39
6854,16,58
6859,54,28
6907,82,50
6939,72,62
6973,98,11
6991,55,67
7050,93,65
7073,52,47
7131,24,57
7153,4,35
7167,41,7
7167,61,98
7182,54,72
7241,99,84
7244,3,77
7285,67,55
7328,25,95
7377,67,28
7419,8,1
7420,48,23
7453,75,2
7476,54,34
7505,30,9
7556,53,85
7599,36,15
